# session captureid occasion trapid
1 2019041701 1 03M
1 2019041702 1 01M
1 2019041703 1 07M
1 2019041704 1 11M
1 2019041705 1 19M
1 2019041706 1 19M
1 2019041707 1 07M
1 2019041708 1 11M
1 2019041709 1 03M
1 2019041710 1 02M
1 2019041711 1 09M
1 2019041712 1 04M
1 2019041713 1 19M
1 2019041714 1 11M
1 2019041715 1 09M
1 2019041801 2 06M
1 2019041802 2 09M
1 2019041803 2 19M
1 2019041804 2 13M
1 2019041805 2 10M
1 2019041806 2 05M
1 2019041807 2 01M
1 2019041713 2 18M
1 2019041809 2 16M
1 2019041904 2 15M
1 2019041810 2 10M
1 2019041811 2 06M
1 2019041812 2 01M
1 2019041905 2 10M
1 2019041813 2 12M
1 2019041815 2 01M
1 2019041816 2 03M
1 2019041817 2 03M
1 2019041818 2 03M
1 2019041819 2 16M
1 2019041820 2 19M
1 2019041821 2 12M
1 2019041822 2 11M
1 2019041712 3 04M
1 2019041901 3 15M
1 2019041902 3 04M
1 2019041903 3 10M
1 2019041819 3 16M
1 2019041820 3 18M
1 2019041816 3 18M
1 2019041906 3 02M
1 2019041907 3 10M
1 2019041908 3 07M
1 2019041909 3 16M
1 2019041910 3 02M
1 2019041911 3 07M
1 2019041912 3 03M
1 2019041913 3 20M

1 2019042401 4 18M
1 2019041912 4 03M
1 2019042402 4 02M
1 2019041704 4 10M
1 2019042403 4 17M
1 2019041815 4 20M
1 2019042404 4 12M
1 2019042405 4 10M
1 2019041712 4 04M
1 2019042406 4 16M
1 2019042407 4 11M
 
1 2019042501 5 20M
1 2019041713 5 19M
1 2019041701 5 16M
1 2019042502 5 10M
1 2019042503 5 05M
1 2019042504 5 17M
1 2019042505 5 14M

1 2019042506 5 05M
1 2019042407 5 11M
1 2019042507 5 12M
1 2019042508 5 11M
1 2019042509 5 01M
1 2019042510 5 20M
1 2019042511 5 14M

2 2019071501 1 13M
2 2019071502 1 19M
2 2019071503 1 17M
2 2019071504 1 10M
2 2019071505 1 05M
2 2019071506 1 14M
2 2019071507 1 20M
2 2019071508 1 10M
2 2019071509 1 09M
2 2019071510 1 01M
2 2019071511 1 12M
2 2019071512 1 04M
2 2019071513 1 06M
2 2019071514 1 04M
2 2019071515 1 15M
2 2019071516 1 13M
2 2019071517 1 11M
2 2019071518 1 09M
2 2019071519 1 20M
2 2019071520 1 09M
2 2019071521 1 05M
2 2019071522 1 01M
2 2019071518 1 10M
2 2019071523 1 20M
2 2019071503 2 17M
2 2019071516 2 13M
2 2019071601 2 16M
2 2019071602 2 20M
2 2019071603 2 11M
2 2019071604 2 16M
2 2019071605 2 07M
2 2019071606 2 11M
2 2019071607 2 06M
2 2019071608 2 13M
2 2019071518 2 10M
2 2019071513 2 06M
2 2019071609 2 11M
2 2019071610 2 16M
2 2019071611 2 06M
2 2019071612 2 13M
2 2019071613 2 10M
2 2019071614 2 02M
2 2019071615 2 14M
2 2019071616 2 11M
2 2019071617 2 14M
2 2019071618 2 18M
2 2019071522 2 20M
2 2019071619 2 11M
2 2019071620 2 11M
2 2019071621 2 07M
2 2019071622 2 05M
2 2019071701 3 16M
2 2019071702 3 03M
2 2019071501 3 12M
2 2019071703 3 18M
2 2019071704 3 11M
2 2019071705 3 03M
2 2019071706 3 06M
2 2019071707 3 14M
2 2019071708 3 04M
2 2019071709 3 11M
2 2019071710 3 05M
2 2019071711 3 13M
2 2019071501 3 12M
2 2019071607 3 06M
2 2019071519 3 20M
2 2019071712 3 09M
2 2019071516 3 13M
2 2019071612 4 12M
2 2019071612 4 12M
2 2019071801 4 11M
2 2019071802 4 03M
2 2019071803 4 11M
2 2019071804 4 15M
2 2019071507 4 20M
2 2019071805 4 18M
2 2019071806 4 09M
2 2019071807 4 20M
2 2019071709 4 11M
2 2019071808 4 07M
2 2019071503 4 17M
2 2019071518 4 10M
2 2019071809 4 01M
2 2019071501 4 11M
2 2019071810 4 14M
2 2019071515 4 15M
2 2019071811 4 08M
2 2019071521 4 05M
2 2019071503 4 16M
2 2019071901 5 14M
2 2019071612 5 12M
2 2019071902 5 07M
2 2019071903 5 05M
2 2019071615 5 08M
2 2019071904 5 11M
2 2019071905 5 20M
2 2019071601 5 16M

2 2019071704 6 11M
2 2019072401 6 04M
2 2019071803 6 10M
2 2019071518 6 09M
2 2019072402 6 07M
2 2019071515 6 16M
2 2019072403 6 08M
